iter	AUC	Logloss
0	0.7600138783	0.6832885573
1	0.7687401474	0.6747250817
2	0.7815619409	0.6655022543
3	0.783339411	0.6569488546
4	0.7839698493	0.6496007352
5	0.7847840488	0.6422534634
6	0.7848190069	0.6355324911
7	0.7870743275	0.6303502418
8	0.7867359221	0.6255629727
9	0.7869830728	0.6208321092
10	0.7873427272	0.6163804014
11	0.7884737253	0.6114555083
12	0.7886484861	0.606841458
13	0.7894726098	0.6029837978
14	0.7899757326	0.5989141694
15	0.7905967832	0.5948491551
16	0.7910327017	0.5920483694
17	0.7912026644	0.5889342456
18	0.7917517722	0.5853321996
19	0.7924434543	0.5828587827
20	0.7921562791	0.5804539659
21	0.7927996814	0.5778027632
22	0.7930508852	0.575456612
23	0.7934381664	0.5730798567
24	0.794192493	0.571043324
25	0.794347316	0.5689256671
26	0.794905901	0.5669639023
27	0.7953721285	0.5649467208
28	0.7957619131	0.5631660376
29	0.7961765826	0.5616351304
30	0.7962529957	0.5602464142
31	0.7965659499	0.5586348536
32	0.7967405617	0.5572045629
33	0.797111243	0.5558393411
34	0.7976098657	0.5545095259
35	0.7978584468	0.5530869098
36	0.7981210351	0.5518692464
37	0.7983080745	0.5507058229
38	0.7986180484	0.5493938992
39	0.7987748384	0.5482719087
40	0.7990259528	0.5473302936
41	0.7992833257	0.5464139151
42	0.7995509803	0.5456762641
43	0.7998240888	0.5448811717
44	0.7999635935	0.5440619727
45	0.8001963794	0.5431622145
46	0.8003824949	0.5424780969
47	0.8005753458	0.5416807445
48	0.8007864952	0.5407424253
49	0.8009751737	0.5399884364
50	0.8010892868	0.5392431108
51	0.8012434542	0.5385649728
52	0.8015113175	0.5379340592
53	0.8016581535	0.5371815769
54	0.8018236756	0.5366078222
55	0.8019814491	0.5359901389
56	0.802069366	0.5354591356
57	0.8021709025	0.5348924433
58	0.802412957	0.534332531
59	0.8025875092	0.5338572271
60	0.8027592599	0.5333149709
61	0.8029080331	0.5328910346
62	0.8030640781	0.5324331514
63	0.8031445146	0.5319437696
64	0.8032452166	0.531510605
65	0.803375572	0.5309827092
66	0.80346632	0.5305672479
67	0.8035660684	0.5300243325
68	0.8036831319	0.5295937575
69	0.8038037121	0.5291386522
70	0.8038878143	0.5286294955
71	0.803984642	0.5282499115
72	0.8040915728	0.5279034269
73	0.8042683601	0.5275869342
74	0.8044035435	0.5272366359
75	0.8045099378	0.5268751789
76	0.8047593236	0.5266518637
77	0.8048549891	0.5263521798
78	0.8049283028	0.5259453346
79	0.8051396906	0.5257110962
80	0.8052279055	0.5254113651
81	0.8053187132	0.5250573472
82	0.8054669499	0.5248233913
83	0.8056676388	0.524615896
84	0.8057816923	0.5243499235
85	0.8059339821	0.5240607862
86	0.8061358929	0.5238066316
87	0.8062549829	0.5234226217
88	0.8064115345	0.5231761888
89	0.8065281808	0.522858519
90	0.8066547513	0.52257635
91	0.8068293929	0.5223874996
92	0.8069034219	0.522115783
93	0.8069757819	0.5218504697
94	0.807163924	0.5216844547
95	0.8072965443	0.5214469675
96	0.8073813617	0.5211801946
97	0.8074920774	0.5208130876
98	0.8075721264	0.5205805912
99	0.8076377213	0.5203055317
100	0.8077331185	0.5201021327
101	0.8078535497	0.5199266539
102	0.8079061508	0.5196894492
103	0.8080602288	0.5195269184
104	0.8081943691	0.5193821378
105	0.808339864	0.5192405589
106	0.8084428608	0.5189536815
107	0.8085595965	0.5188096072
108	0.8086211085	0.5186190619
109	0.808783114	0.5184782834
110	0.8089185357	0.5183448499
111	0.8090080321	0.5182272363
112	0.8091540635	0.5181116943
113	0.8092619479	0.5178313144
114	0.8093393147	0.5176432645
115	0.8094218075	0.5174552616
116	0.8094727993	0.5172167857
117	0.809564203	0.5170109383
118	0.809646666	0.5168584832
119	0.8098166585	0.5167236372
120	0.8099608123	0.5165931699
121	0.8100590408	0.5164638797
122	0.8101108074	0.5162757356
123	0.8102794886	0.5161419725
124	0.8103468716	0.5159799595
125	0.8105192482	0.5158454431
126	0.8106061518	0.5157533015
127	0.8107144535	0.5155956201
128	0.8108550012	0.5154874702
129	0.8110215962	0.515355308
130	0.8112269938	0.5152125991
131	0.8113042414	0.5150627806
132	0.8113551736	0.5149172467
133	0.8114237189	0.5147722778
