iter	Passed	Remaining
0	105	2115265
1	189	1890158
2	270	1801375
3	357	1788460
4	443	1775012
5	542	1808816
6	636	1818805
7	735	1837677
8	826	1834931
9	907	1814369
10	992	1803493
11	1081	1801108
12	1168	1796338
13	1255	1792550
14	1341	1787169
15	1427	1783209
16	1515	1781010
17	1608	1785206
18	1692	1779545
19	1776	1774660
20	1866	1775711
21	1951	1771690
22	2027	1761147
23	2110	1756397
24	2183	1744988
25	2258	1735230
26	2336	1728669
27	2413	1721703
28	2488	1713888
29	2565	1707561
30	2638	1699811
31	2711	1692239
32	2790	1688421
33	2869	1685111
34	2942	1678680
35	3018	1673902
36	3096	1670443
37	3172	1666802
38	3247	1662215
39	3323	1658421
40	3397	1654026
41	3470	1649051
42	3543	1644500
43	3623	1643604
44	3702	1641885
45	3778	1638934
46	3854	1636338
47	3930	1633635
48	4004	1630465
49	4097	1634785
50	4187	1637819
51	4265	1636189
52	4346	1635978
53	4419	1632525
54	4494	1629792
55	4571	1627973
56	4646	1625807
57	4723	1624060
58	4795	1620788
59	4872	1619230
60	4948	1617616
61	5023	1615398
62	5103	1615006
63	5177	1612678
64	5252	1611025
65	5335	1611508
66	5415	1611172
67	5493	1610162
68	5566	1607804
69	5640	1605952
70	5723	1606394
71	5804	1606491
72	5887	1607147
73	5967	1606994
74	6040	1604812
75	6114	1603010
76	6185	1600564
77	6264	1599979
78	6339	1598581
79	6418	1598142
80	6488	1595724
81	6564	1594430
82	6642	1593932
83	6721	1593719
84	6805	1594485
85	6883	1593815
86	6958	1592721
87	7025	1589658
88	7103	1589097
89	7177	1587920
90	7247	1585714
91	7323	1584711
92	7395	1583001
93	7467	1581270
94	7535	1578894
95	7612	1578338
96	7688	1577476
97	7758	1575704
98	7833	1574705
99	7908	1573814
100	7980	1572230
101	8051	1570710
102	8126	1569810
103	8197	1568296
104	8266	1566312
105	8342	1565714
106	8416	1564771
107	8488	1563499
108	8565	1563168
109	8645	1563213
110	8713	1561288
111	8784	1559818
112	8858	1558960
113	8926	1557172
114	9002	1556705
115	9088	1557842
116	9173	1558918
117	9251	1558726
118	9328	1558527
119	9398	1557085
120	9473	1556444
121	9541	1554615
122	9612	1553333
123	9705	1555713
124	9789	1556504
125	9856	1554741
126	9925	1553164
127	9995	1551874
128	10065	1550410
129	10139	1549716
130	10210	1548601
131	10279	1547192
132	10347	1545674
133	10415	1544105
134	10483	1542693
135	10555	1541656
136	10623	1540248
137	10695	1539416
138	10767	1538526
139	10835	1537062
140	10903	1535651
141	10973	1534562
142	11047	1534067
143	11118	1533180
144	11189	1532214
145	11268	1532302
146	11335	1530971
147	11404	1529707
148	11475	1528820
149	11548	1528316
150	11617	1527074
151	11689	1526348
152	11758	1525294
153	11832	1524912
154	11902	1523943
155	11973	1523114
156	12047	1522654
157	12118	1521871
158	12190	1521190
159	12261	1520417
160	12334	1519947
161	12404	1519058
162	12476	1518432
163	12548	1517747
164	12626	1517821
165	12703	1517862
166	12782	1518014
167	12856	1517718
168	12933	1517675
169	13007	1517301
170	13085	1517327
171	13170	1518250
172	13244	1517967
173	13315	1517177
174	13403	1518469
175	13482	1518643
176	13558	1518467
177	13630	1517849
178	13705	1517631
179	13779	1517223
180	13847	1516242
181	13915	1515236
182	13994	1515481
183	14074	1515774
184	14148	1515452
185	14221	1515006
186	14376	1523254
187	14455	1523389
188	14530	1523039
189	14601	1522449
190	14674	1521947
191	14797	1526641
192	14877	1526838
193	14953	1526642
194	15030	1526560
195	15115	1527318
196	15209	1528908
197	15291	1529279
198	15412	1533586
199	15563	1540831
200	15706	1547174
201	15834	1551986
202	15919	1552521
203	16048	1557335
204	16137	1558277
205	16209	1557481
206	16280	1556701
207	16353	1556056
208	16426	1555444
209	16498	1554770
210	16571	1554184
211	16646	1553736
212	16720	1553290
213	16787	1552162
214	16860	1551563
215	16933	1550975
216	17014	1551174
217	17089	1550755
218	17164	1550328
219	17236	1549676
220	17305	1548831
221	17378	1548252
222	17450	1547650
223	17527	1547394
224	17591	1546085
225	17660	1545248
226	17738	1545162
227	17810	1544476
228	17879	1543666
229	17948	1542827
230	18017	1541928
231	18090	1541411
232	18168	1541333
233	18244	1541154
234	18312	1540237
235	18383	1539553
236	18450	1538588
237	18521	1537930
238	18590	1537104
239	18664	1536748
240	18737	1536266
241	18817	1536345
242	18887	1535653
243	18958	1535027
244	19039	1535202
245	19121	1535458
246	19191	1534759
247	19272	1534990
248	19343	1534355
249	19410	1533452
250	19479	1532705
251	19557	1532622
252	19628	1531994
253	19698	1531338
254	19775	1531261
255	19850	1530931
256	19919	1530253
257	19995	1530024
258	20064	1529300
259	20133	1528633
260	20208	1528340
261	20286	1528313
262	20362	1528087
263	20431	1527380
264	20505	1527068
265	20575	1526453
266	20644	1525769
267	20729	1526249
268	20798	1525584
269	20867	1524858
270	20943	1524712
271	21013	1524061
272	21088	1523829
273	21217	1527512
274	21303	1528022
275	21410	1530082
276	21509	1531511
277	21711	1540261
278	21800	1540934
279	21871	1540345
280	21942	1539795
281	22017	1539477
282	22083	1538610
283	22155	1538112
284	22225	1537477
285	22297	1536955
286	22366	1536276
287	22435	1535553
288	22501	1534702
289	22567	1533820
290	22637	1533185
291	22713	1532976
292	22787	1532681
293	22854	1531850
294	22921	1531073
295	22986	1530187
296	23055	1529485
297	23127	1529085
298	23200	1528667
299	23271	1528172
300	23337	1527329
301	23407	1526786
302	23477	1526185
303	23545	1525477
304	23616	1524980
305	23695	1525006
306	23768	1524643
307	23832	1523715
308	23919	1524278
309	23997	1524238
310	24070	1523873
311	24148	1523823
312	24216	1523194
313	24286	1522638
314	24354	1521984
315	24424	1521438
316	24492	1520789
317	24561	1520197
318	24634	1519844
319	24708	1519588
320	24781	1519218
321	24854	1518911
322	24928	1518618
323	24995	1517910
324	25068	1517598
325	25139	1517148
326	25212	1516819
327	25279	1516181
328	25347	1515539
329	25426	1515575
330	25495	1515031
331	25567	1514655
332	25638	1514240
333	25711	1513925
334	25782	1513492
335	25849	1512789
336	25919	1512329
337	25984	1511560
338	26052	1510968
339	26121	1510460
340	26191	1509941
341	26259	1509409
342	26331	1509026
343	26403	1508689
344	26479	1508562
345	26546	1507944
346	26617	1507522
347	26688	1507112
348	26762	1506929
349	26862	1508131
350	26951	1508762
351	27043	1509545
352	27128	1509886
353	27235	1511518
354	27333	1512599
355	27423	1513200
356	27489	1512552
357	27560	1512107
358	27630	1511664
359	27704	1511452
360	27777	1511124
361	27845	1510583
362	27921	1510478
363	27995	1510211
364	28065	1509760
365	28140	1509573
366	28207	1508968
367	28274	1508357
368	28341	1507783
369	28419	1507779
370	28488	1507302
371	28563	1507100
372	28635	1506786
373	28706	1506395
